license,CC BY-NC 4.0 (all data),,,,,
reference,https://doi.org/10.1016/j.joule.2020.08.002 (all data),,,,,
comment,Averaged capacity factors for sub-regions in Lombardi’s study.,,,,,
nodes,NORD,CNOR,CSUD,SUD,SICI,SARD
techs,wind,wind,wind,wind,wind,wind
parameters,source_use_max,source_use_max,source_use_max,source_use_max,source_use_max,source_use_max
timesteps,,,,,,
2015-01-03 06:00:00,0.42911875,0.204833333333333,0.454633333333333,0.55735,0.6111,0.4674
2015-01-03 07:00:00,0.4262875,0.174133333333333,0.4824,0.5737,0.5678,0.4061
2015-01-03 08:00:00,0.3869625,0.1168,0.503566666666667,0.60075,0.5283,0.3463
2015-01-03 09:00:00,0.32621875,0.0912666666666667,0.598566666666667,0.67795,0.5776,0.3937
2015-01-03 10:00:00,0.31823125,0.110133333333333,0.6439,0.70955,0.6314,0.3451
2015-01-03 11:00:00,0.2946875,0.1223,0.6405,0.714225,0.629,0.2984
2015-01-03 12:00:00,0.23660625,0.123033333333333,0.610966666666667,0.70555,0.6131,0.2602
2015-01-03 13:00:00,0.18039375,0.107766666666667,0.556666666666667,0.68485,0.5937,0.2235
2015-01-03 14:00:00,0.14554375,0.0814,0.455233333333333,0.63225,0.5717,0.1805
2015-01-03 15:00:00,0.13885,0.0873333333333333,0.370166666666667,0.572225,0.5265,0.1498
2015-01-03 16:00:00,0.12345625,0.081,0.312033333333333,0.5469,0.5096,0.1387
2015-01-03 17:00:00,0.11011875,0.0700333333333333,0.2662,0.517525,0.5215,0.1224
2015-01-03 18:00:00,0.10425,0.0588666666666667,0.242833333333333,0.518,0.5384,0.1107
2015-01-03 19:00:00,0.104175,0.0489,0.217233333333333,0.504175,0.5501,0.0948
2015-01-03 20:00:00,0.10879375,0.0369666666666667,0.187466666666667,0.47955,0.5542,0.0777
2015-01-03 21:00:00,0.116375,0.0269333333333333,0.1564,0.4269,0.5261,0.0597
2015-01-03 22:00:00,0.1199875,0.0215666666666667,0.128466666666667,0.39305,0.5054,0.0468
2015-01-03 23:00:00,0.12271875,0.0230333333333333,0.103333333333333,0.37305,0.4688,0.0427
2015-01-04 00:00:00,0.12025,0.0303,0.0845666666666667,0.342875,0.4356,0.0462
2015-01-04 01:00:00,0.12075,0.0423,0.0732666666666667,0.322125,0.4128,0.0592
2015-01-04 02:00:00,0.1157125,0.0560333333333333,0.0663,0.311825,0.4069,0.0789
2015-01-04 03:00:00,0.1020125,0.0673333333333333,0.0593,0.29775,0.4224,0.0959
2015-01-04 04:00:00,0.09370625,0.0816,0.0465,0.26955,0.4287,0.1103
2015-01-04 05:00:00,0.099775,0.0995666666666667,0.0341333333333333,0.23425,0.4219,0.1277
2015-01-04 06:00:00,0.1028,0.119733333333333,0.0260666666666667,0.199725,0.3936,0.1548
2015-01-04 07:00:00,0.1033625,0.139066666666667,0.0228,0.162375,0.3113,0.1709
2015-01-04 08:00:00,0.09985,0.1391,0.0216666666666667,0.1558,0.2848,0.1612
2015-01-04 09:00:00,0.08901875,0.116766666666667,0.0294,0.1436,0.2908,0.1882
2015-01-04 10:00:00,0.08075,0.114966666666667,0.0487,0.12455,0.2496,0.2412
2015-01-04 11:00:00,0.08290625,0.116433333333333,0.0727333333333333,0.11665,0.2218,0.2506
2015-01-04 12:00:00,0.0929125,0.1167,0.0952333333333333,0.11815,0.2052,0.2436
2015-01-04 13:00:00,0.09335,0.130233333333333,0.115166666666667,0.12645,0.1977,0.2534
2015-01-04 14:00:00,0.12059375,0.136566666666667,0.121,0.133475,0.1885,0.2694
2015-01-04 15:00:00,0.13181875,0.152466666666667,0.1411,0.1669,0.1915,0.2991
2015-01-04 16:00:00,0.1355875,0.175566666666667,0.154366666666667,0.201275,0.203,0.3613
2015-01-04 17:00:00,0.13709375,0.1826,0.169833333333333,0.22805,0.2078,0.4455
2015-01-04 18:00:00,0.14835625,0.183966666666667,0.190466666666667,0.233975,0.2175,0.5069
2015-01-04 19:00:00,0.1559375,0.160433333333333,0.185366666666667,0.216875,0.2138,0.5371
2015-01-04 20:00:00,0.16518125,0.125133333333333,0.1833,0.205675,0.1979,0.5535
2015-01-04 21:00:00,0.16971875,0.0980333333333333,0.181466666666667,0.19115,0.1857,0.554
2015-01-04 22:00:00,0.180375,0.0723,0.175233333333333,0.185,0.1889,0.5874
2015-01-04 23:00:00,0.20413125,0.0498333333333333,0.153566666666667,0.178075,0.2143,0.6091
2015-01-05 00:00:00,0.22511875,0.0362333333333333,0.120833333333333,0.158725,0.2549,0.6224
2015-01-05 01:00:00,0.23474375,0.0341,0.0887666666666667,0.13855,0.288,0.6328
2015-01-05 02:00:00,0.24101875,0.051,0.0647,0.12015,0.3319,0.6351
2015-01-05 03:00:00,0.249425,0.0743666666666667,0.0577,0.105075,0.374,0.622
2015-01-05 04:00:00,0.25181875,0.0885,0.0532,0.079375,0.4041,0.5854
2015-01-05 05:00:00,0.2478625,0.0957666666666667,0.0558666666666667,0.057975,0.4147,0.5354
2015-01-05 06:00:00,0.2392375,0.104,0.0668666666666667,0.04665,0.4205,0.4905
2015-01-05 07:00:00,0.2182,0.1023,0.0767666666666667,0.0505,0.3906,0.4423
2015-01-05 08:00:00,0.1877125,0.102266666666667,0.0840333333333333,0.058175,0.4739,0.4209
2015-01-05 09:00:00,0.1479625,0.0971666666666667,0.107333333333333,0.071425,0.5774,0.3899
2015-01-05 10:00:00,0.06993125,0.0872333333333333,0.1297,0.095875,0.6043,0.3326
2015-01-05 11:00:00,0.08896875,0.0768333333333333,0.133166666666667,0.119625,0.5818,0.3005
2015-01-05 12:00:00,0.07809375,0.0668,0.135666666666667,0.1344,0.5342,0.2758
2015-01-05 13:00:00,0.0572,0.0585,0.140633333333333,0.148675,0.4785,0.2431
2015-01-05 14:00:00,0.05289375,0.0486666666666667,0.126733333333333,0.149275,0.401,0.2029
2015-01-05 15:00:00,0.0619,0.0515,0.127566666666667,0.158525,0.3582,0.1604
2015-01-05 16:00:00,0.06654375,0.0659666666666667,0.1544,0.1882,0.3714,0.1391
2015-01-05 17:00:00,0.07086875,0.0737,0.155566666666667,0.19925,0.3571,0.1198
2015-01-05 18:00:00,0.070325,0.0754666666666667,0.159366666666667,0.204925,0.3311,0.1055
2015-01-05 19:00:00,0.0675125,0.0742333333333333,0.160666666666667,0.2097,0.3226,0.0936
2015-01-05 20:00:00,0.06295625,0.0708,0.160933333333333,0.219125,0.2997,0.0842
2015-01-05 21:00:00,0.05968125,0.0673333333333333,0.141566666666667,0.201825,0.2652,0.0615
2015-01-05 22:00:00,0.05998125,0.0646333333333333,0.116,0.183225,0.2234,0.0403
2015-01-05 23:00:00,0.06575625,0.0602,0.0941666666666667,0.16735,0.1929,0.0321
2015-01-06 00:00:00,0.07354375,0.0538,0.0738333333333333,0.150375,0.167,0.0358
2015-01-06 01:00:00,0.07924375,0.0493,0.0595666666666667,0.13815,0.1436,0.0476
2015-01-06 02:00:00,0.08620625,0.0482666666666667,0.0503,0.1246,0.1276,0.0593
2015-01-06 03:00:00,0.0945875,0.0481666666666667,0.0424333333333333,0.12505,0.1215,0.061
2015-01-06 04:00:00,0.09754375,0.0528666666666667,0.0397333333333333,0.126925,0.1173,0.0571
2015-01-06 05:00:00,0.09230625,0.0608,0.0392,0.12135,0.1116,0.0527
2015-01-06 06:00:00,0.08461875,0.0647666666666667,0.0389,0.11685,0.1051,0.0487
2015-01-06 07:00:00,0.07530625,0.0604,0.0327,0.0993,0.088,0.043
2015-01-06 08:00:00,0.0582625,0.0423666666666667,0.019,0.080925,0.0702,0.0343
2015-01-06 09:00:00,0.0297625,0.0392666666666667,0.0169,0.063225,0.0459,0.0323
2015-01-06 10:00:00,0.01214375,0.0511,0.0217666666666667,0.0542,0.0232,0.0369
2015-01-06 11:00:00,0.00890625,0.0560666666666667,0.0235,0.0489,0.0085,0.0465
2015-01-06 12:00:00,0.0120125,0.0549,0.0229666666666667,0.0461,0.0049,0.0581
2015-01-06 13:00:00,0.0144875,0.0476333333333333,0.0223,0.043475,0.008,0.0716
2015-01-06 14:00:00,0.0159625,0.0338333333333333,0.0238,0.04115,0.0134,0.0825
2015-01-06 15:00:00,0.0188375,0.0293,0.0339666666666667,0.04515,0.0214,0.0877
2015-01-06 16:00:00,0.02530625,0.0280666666666667,0.0447333333333333,0.05365,0.0261,0.0941
2015-01-06 17:00:00,0.0266875,0.0301333333333333,0.0580666666666667,0.067375,0.025,0.0987
2015-01-06 18:00:00,0.02881875,0.0388666666666667,0.0695666666666667,0.088275,0.0199,0.1052
2015-01-06 19:00:00,0.0329,0.0495,0.0782333333333333,0.114375,0.0143,0.1141
2015-01-06 20:00:00,0.037425,0.0599666666666667,0.0859666666666667,0.140325,0.011,0.1173
2015-01-06 21:00:00,0.04104375,0.0736333333333333,0.0889333333333333,0.150425,0.0099,0.1169
2015-01-06 22:00:00,0.04441875,0.0856666666666667,0.0886666666666667,0.148525,0.0091,0.12
2015-01-06 23:00:00,0.052525,0.0978333333333333,0.0884,0.145125,0.0078,0.1245
2015-01-07 00:00:00,0.0603125,0.1045,0.0877,0.139825,0.0067,0.1262
2015-01-07 01:00:00,0.0657125,0.106433333333333,0.0878666666666667,0.13865,0.0063,0.1249
2015-01-07 02:00:00,0.076775,0.105933333333333,0.0885666666666667,0.140575,0.0069,0.1268
2015-01-07 03:00:00,0.07438125,0.1057,0.0917333333333333,0.142075,0.0075,0.1271
